,TOI,source_id,clusters,reference,Cluster,k13_name_match,k13_logt,distance,TIC ID,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Edited (UTC),Date Modified,Comments
0,580.01,5519619186857962112,"Pozzo_1,nan,Pozzo_1,nan","CantatGaudin_2018,Zari_2018_UMS,CantatGaudin_2018,Zari_2018_UMS",Vel_OB2,Vel_OB2,,349.83160799845234,81419525,,3,4,3,3,2,4,4,5.0,PC,,9.5518,0.006,,1,qlp,08:12:25.99,-46:06:32.9,-5.99,0.084,9.892,0.076,2458518.381348,0.00239,1.54959,0.00027,2.873,0.154,6.9984600000000015,0.43702,6425.089844,6425.089844,,,57385.19921900001,4311.0,32.0,346.494,5.813,8362.900391,439.799988,,,,,,,8,2019-04-01 16:52:01,2019-12-17 15:43:36,2020-01-16 02:34:07,3 GAIA stars within 5
1,581.01,5525188767305211904,"Trumpler_10,nan,Trumpler_10,nan","CantatGaudin_2018,Zari_2018_UMS,CantatGaudin_2018,Zari_2018_UMS",Trumpler_10,Trumpler_10,7.38,439.53565624538095,180987952,,3,4,3,3,2,4,4,5.0,PC,,9.5287,0.006,,1,qlp,08:41:02.75,-41:26:34.06,-11.579,0.071,7.155,0.066,2458518.608032,0.00303,1.38846,0.0003,1.514,0.341,0.6013649999999999,0.001738,553.723999,553.723999,,,10968.5,2851.0,14.0,434.207,7.5125,9761.5,145.600006,4.08,1.27,,,,,8,2019-04-01 16:52:00,2019-12-17 15:43:36,2020-01-16 02:34:07,
2,681.01,5290968085934209152,"NGC_2516,NGC2516,nan,NGC_2516,NGC2516,nan","CantatGaudin_2018,GaiaCollaboration2018_tab1b,Zari_2018_UMS,CantatGaudin_2018,GaiaCollaboration2018_tab1b,Zari_2018_UMS",NGC_2516,NGC_2516,8.475,426.48748756811307,410450228,,1,4,1,3,2,4,4,5.0,PC,,10.6845,0.006,,1,spoc,07:51:34.79,-60:24:44.6,-4.18,0.049,11.242,0.061,2458546.476685,0.001273,15.778431,0.001807,3.360643,0.122936,7.598665,0.340802,6974.195801000002,6974.195801000002,13.082777,4.2398430000000005,564.329651,1243.091064,42.580555,421.349,4.588,7447.0,41.0,3.79,0.17,1.23189,0.304797,-0.122325,0.0513331,9,2019-05-06 19:17:06,2019-12-17 15:43:37,2020-01-16 02:34:07,V-shaped; possible odd/even
3,837.01,5251470948229949568,"IC2602,IC_2602,IC_2602","GaiaCollaboration2018_tab1a,CantatGaudin_2018,Kharchenko2013",IC_2602,IC_2602,8.345,143.07643771907735,460205581,,3,5,5,3,2,4,4,5.0,PC,,9.9322,0.006,,1,spoc,10:28:08.95,-64:30:18.76,-18.017,0.039,11.307,0.037000000000000005,2458599.250488,0.001262,8.322728999999999,0.000957,1.775778,0.08703,4.759848000000002,0.45479,4374.38623,4374.38623,8.24057,1.429682,29.5116,649.0,19.722456,142.488,0.4595,6513.0,199.0,4.53694,0.338064,1.03252,0.13781300000000002,,,11,2019-06-17 17:15:57,2019-12-17 15:43:38,2020-01-16 02:34:07,single transit
4,839.01,5337273743301313536,Loden 306,Dias2014,Loden_306,Loden_306,6.76,1704.358635911153,466840711,,5,5,5,5,5,5,5,5.0,KP,KP,14.1491,0.014,,1,spoc,11:07:55.17,-61:08:46.5,-4.522,0.039,2.488,0.034,2458598.899414,0.006000999999999999,2.485338,0.000997,2.945664,0.430199,48.308595,5.9920300000000015,43518.527344,43518.527344,32.82655,3.039439,2838.029053,1861.546753,7.770461999999998,1627.63,76.74,6933.0,,4.25089,,1.53,,,,11,2019-06-17 17:15:57,2019-12-17 15:43:39,2020-01-16 02:34:07,OGLE2-TR-L9b
5,861.01,5290721997195236480,"NGC_2516,nan,NGC_2516,nan","CantatGaudin_2018,Zari_2018_UMS,CantatGaudin_2018,Zari_2018_UMS",NGC_2516,NGC_2516,8.475,427.4756944944281,372913430,,3,4,3,3,2,4,4,5.0,PC,,8.3502,0.006,,1,qlp,07:58:08.04,-60:46:49.8,-3.81,0.081,12.358,0.057,2458333.39917,0.00198,13.47794,0.00014,2.745,0.14300000000000002,4.770005,2.007372,4383.700195,4383.700195,,,869.1729740000002,1512.0,33.0,422.358,5.8415,9125.200195,84.900002,4.08,1.29,,,,,,2019-07-09 14:50:00,2019-12-17 15:43:36,2020-01-16 02:34:07,crowded field
6,893.01,3099242937596214272,NGC 2306,Dias2014,NGC_2306,NGC_2306,9.0,1283.226910132699,123958679,,3,4,3,3,4,4,4,5.0,PC,,11.4847,0.022,,1,qlp,06:54:42.86,-07:07:52.74,0.518,0.065,-0.644,0.07400000000000001,2458469.073242,0.00947,5.59071,0.00463,3.824,0.599,3.723962,0.01679,3424.0200200000004,3424.0200200000004,,,1935.359985,1847.0,9.0,1241.42,70.575,8808.0,254.5,,,,,,,6,2019-03-21 15:42:32,2019-12-17 15:43:36,2020-01-16 02:34:07,
7,1336.01,2058880504233056768,Ruprecht 172,Dias2014,Ruprecht_172,Ruprecht_172,9.065,532.1743831963446,92783821,,3,4,3,3,3,4,4,5.0,PC,,10.2115,0.017,,1,qlp,20:12:04.16,35:31:28.66,-11.969,0.047,-8.381,0.049,2458685.186279,0.00413,3.86283,0.00059,1.232,0.383,1.6999970000000002,0.013511000000000002,1564.530029,1564.530029,10.4563,0.986629,264.130005,1123.0,10.0,524.29,8.182,7167.0,111.5,3.89,0.08,2.4,0.07,,,15,2019-10-17 00:30:12,2019-12-17 15:43:42,2020-01-16 02:34:07,
8,1497.01,2014335027560174976,"RSG_7,nan,RSG_7,nan","CantatGaudin_2018,Zari_2018_UMS,CantatGaudin_2018,Zari_2018_UMS",RSG_7,,,409.90476766050205,371673488,,2,4,2,2,1,4,4,3.0,PC,,9.95717,0.006,,1,qlp,22:52:55.97,59:51:03.42,4.3260000000000005,0.044,-2.168,0.043,2458765.480835,0.00557,0.8158,0.00035,2.353,0.35100000000000003,0.39,0.000936,359.139008,359.139008,3.86667,0.35790700000000003,25234.099609,3511.0,11.0,405.174,4.5835,7864.600098000001,310.799988,4.26,0.09,1.85,0.15,,,"16,17",2019-12-05 21:41:09,2019-12-17 15:43:31,2020-01-16 02:34:07,Variable star; slight depth-aperture correlation
9,1535.01,427614644875238528,"NGC 225,NGC_225","Dias2014,CantatGaudin_2018",NGC_225,NGC_225,8.191,708.4432926169015,420288086,,3,4,3,3,3,4,4,5.0,PC,,10.4397,0.024,,1,qlp,00:43:51.05,61:50:08.25,-5.237,0.036000000000000004,0.061,0.039,2458769.584961,0.00238,6.5342699999999985,0.00058,3.679,0.361,4.100961,0.05338,3770.0,3770.0,20.406099,2.71884,3017.899902,2064.0,29.0,694.4910000000001,12.687,7715.299805,362.299988,3.96,0.07,2.6,0.23,,,"17,18",2019-12-05 21:41:10,2019-12-17 22:06:58,2020-01-16 02:34:07,Could be twice the period
10,1571.01,442000758088682624,Melotte 20,Dias2014,Melotte_20,Melotte_20,7.7,320.80602731560447,285677945,,3,4,3,3,1,4,4,5.0,PC,,10.2353,0.029,,1,qlp,03:32:23.75,50:29:56.55,-0.061,0.08800000000000001,2.251,0.077,2458791.561035,0.00558,1.2427,0.00049,1.5630000000000002,0.315,0.720891,0.002921,663.744995,663.744995,6.05271,0.461873,1263.339966,1660.0,11.0,317.968,4.8455,5624.799805,119.0,3.92,0.1,2.14,0.09,,,18,2019-12-19 20:58:21,2019-12-19 20:58:21,2020-01-16 02:34:07,Possible depth aperture correlation
11,1585.01,430549069612992000,Stock_20,Kharchenko2013,Stock_20,Stock_20,8.337,683.7745003297734,444415148,,3,4,3,3,3,4,4,5.0,PC,,8.9676,0.012,,1,qlp,00:25:14.14,62:32:35.21,-4.209,0.044,-3.54,0.04,2458764.874634,0.0042,1.83641,0.00032,2.222,0.256,0.400039,0.0007469999999999999,368.381989,368.381989,10.7399,0.611317,3690.540039,2171.0,11.0,670.885,14.034,7609.5,140.899994,,,5.09,0.19,,,"17,18",2019-12-19 20:58:21,2019-12-19 20:58:21,2020-01-16 02:34:07,
12,1641.01,337169505562029568,NGC 1039,Dias2014,NGC_1039,NGC_1039,8.383,777.2204147780392,422923265,,3,4,3,3,1,4,4,5.0,PC,,9.616,0.006999999999999999,,1,spoc,02:40:58.94,42:52:16.49,2.1180000000000003,0.25,-6.461,0.238,2458791.787231,0.001256,1.864989,0.000181,1.008516,0.211027,1.259566,0.107211,1159.430054,1159.430054,12.538129,2.963973,60795.01171900001,4004.854492,8.000886999999999,769.138,112.928,9898.0,151.436005,3.77846,0.14356300000000002,3.39909,0.520522,,,18,2020-01-14 19:46:38,2020-01-14 19:46:38,2020-01-16 02:34:07,Centroid offset; not centered on another star
